Fascia,Cognome e Nome,Genere,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza
Straordinario tempo determinato,LAZAR Marc,M,,14/GSPS-07,GSPS-07/A,SPS/11,14/C3,SCIENZE POLITICHE
Ordinario,LECHNER Christian,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),LEFKELI Deniz,F,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,LENER Raffaele,M,,12/GIUR-03,GIUR-03/A,IUS/05,12/E3,GIURISPRUDENZA
Ricercatore a t.d. - t.pieno (L. 79/2022),LEOCATA Marta,F,,13/STAT-04,STAT-04/A,SECS-S/06,13/D4,"AI, DATA AND DECISION SCIENCES"
Associato,LEONE Maria Isabella,F,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,LIPPI Francesco,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Associato,LOMONACO Vincenzo,M,,01/INFO-01,INFO-01/A,INF/01,01/B1,"AI, DATA AND DECISION SCIENCES"
Ordinario,LUPO Nicola,M,,12/GIUR-05,GIUR-05/A,IUS/09,12/C1,SCIENZE POLITICHE
Ordinario,MAJOCCHI Antonio,M,,13/ECON-07,ECON-07/A,SECS-P/08,13/B2,BUSINESS AND MANAGEMENT
Ordinario,MANZOCCHI Stefano,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ordinario,MARCHETTI Raffaele,M,,14/GSPS-02,GSPS-02/A,SPS/04,14/A2,SCIENZE POLITICHE
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARCIANTE Manfredi,M,,12/GIUR-09,GIUR-09/A,IUS/13,12/E1,GIURISPRUDENZA
Ordinario,MARENGO Luigi,M,,13/ECON-01,ECON-01/A,SECS-P/01,13/A1,Economics and Financial Markets
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MARTINO Alessio,M,,01/INFO-01,INFO-01/A,INF/01,01/B1,BUSINESS AND MANAGEMENT
Ordinario,MARTUCCELLI Silvio,M,,12/GIUR-01,GIUR-01/A,IUS/01,12/A1,GIURISPRUDENZA
Ordinario,MASCIA Daniele,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ordinario,MATTARELLA Bernardo Giorgio,M,,12/GIUR-06,GIUR-06/A,IUS/10,12/D1,GIURISPRUDENZA
Ordinario,MCCARTHY Ian Paul,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ordinario,MELICIANI Valentina,F,,13/ECON-04,ECON-04/A,SECS-P/06,13/A4,Economics and Financial Markets
Ordinario,MELIS Giuseppe,M,,12/GIUR-08,GIUR-08/A,IUS/12,12/D2,GIURISPRUDENZA
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MELLUSO Nicola,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (art. 24 c.3-a L. 240/10),MENEGAZZI Silvia,F,,14/GSPS-02,GSPS-02/A,SPS/04,14/A2,SCIENZE POLITICHE
Ordinario,MEO Giorgio,M,,12/GIUR-02,GIUR-02/A,IUS/04,12/B1,GIURISPRUDENZA
Ordinario,MURRO Pierluigi,M,,13/ECON-09,ECON-09/A,SECS-P/09,13/B4,Accounting and Corporate Finance
Ordinario,MUSAIO Alessandro,M,,13/ECON-06,ECON-06/A,SECS-P/07,13/B1,Accounting and Corporate Finance
Ordinario,NUZZO Antonio,M,,12/GIUR-02,GIUR-02/A,IUS/04,12/B1,GIURISPRUDENZA
